Product Name,Date,Price
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,24.12.2024,"10.015,60 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,05.01.2025,"10.175,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,17.01.2025,"10.237,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,29.01.2025,"9.850,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,10.02.2025,"10.212,48 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,21.02.2025,"10.200,66 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,05.03.2025,"10.199,84 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,17.03.2025,"10.350,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,29.03.2025,"11.749,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,09.04.2025,"11.700,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,21.04.2025,"11.399,00 TL"
Xiaomi Redmi Note 13 Pro 256 GB 8 GB,01.05.2025,"10.650,00 TL"
